region;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;age;sex
Fergana region;78432;79151;80636;84357;88160;92712;97169;102041;107232;113932;121382;131197;65-gt;female
Khorezm region;31266;31767;32359;34364;35959;37881;39731;41861;43905;46667;49666;53678;65-gt;female
Tashkent city;102751;105485;109430;113705;118218;123417;128306;134479;139608;146703;156434;164517;65-gt;female
Republic of Karakalpakstan;56736;56977;59325;60176;60578;58542;57293;57926;59437;60507;61759;64076;0-2;male
Andijan region;89918;91483;96625;101561;103868;103165;106735;110923;118290;122445;127622;131644;0-2;male
Bukhara region;52269;53125;55957;58547;59212;58619;59245;60945;63196;64072;65992;68605;0-2;male
Jizzakh region;39641;39971;41747;44578;46876;47398;48231;50529;54666;58850;61365;62621;0-2;male
Kashkadarya region;99286;102755;107842;112173;115709;116304;118167;122391;130093;138376;144870;150228;0-2;male
Navoi region;27820;28363;29249;30281;30974;31221;32096;33116;34815;37350;39117;40477;0-2;male
Namangan region;79327;82004;87195;93123;96135;95552;97586;102428;109404;115971;121366;125779;0-2;male
Samarkand region;115038;117551;123496;128208;131262;131604;135536;141280;148397;155931;162978;169339;0-2;male
Surkhandarya region;80419;82730;85656;90803;94406;96224;97084;101131;106861;114445;119855;126156;0-2;male
Syrdarya region;24490;24454;25313;26144;26750;26681;26861;28385;30324;32984;34363;35458;0-2;male
Tashkent region;82819;82600;84270;86827;87746;85698;85621;89238;94915;99324;105339;109899;0-2;male
Fergana region;104963;106036;110501;116461;119089;118654;120317;125095;134068;143149;150412;157020;0-2;male
Khorezm region;54049;54851;57378;59673;60250;58904;59293;60399;62666;64113;66255;69540;0-2;male
Tashkent city;59566;60027;61748;63459;65838;67149;68963;72574;79880;90090;100264;109399;0-2;male
Republic of Karakalpakstan;56716;58044;57126;56986;57241;59726;60802;61318;58782;57239;57718;59361;3-5;male
Andijan region;91716;94469;92082;90522;91920;96966;101892;104260;103267;106669;110747;118513;3-5;male
Bukhara region;51679;52908;52533;52104;52918;55681;58051;58695;57944;58776;60587;63109;3-5;male
Jizzakh region;40443;41122;40401;40049;40236;42064;44889;47166;47507;48192;50402;54753;3-5;male
Kashkadarya region;94899;97964;98841;101766;104972;109528;113870;117092;116370;117809;121928;130527;3-5;male
Navoi region;26846;27318;27694;27851;28459;29464;30704;31409;31477;32137;33097;34783;3-5;male
Namangan region;81054;80867;79811;79254;81884;86990;92883;95797;95124;97160;101997;109384;3-5;male
Samarkand region;113685;117874;116116;117088;119119;125149;130405;133606;132828;136101;141443;149011;3-5;male
Surkhandarya region;76355;78973;79949;81688;83629;86705;91969;95861;96839;97250;101080;107524;3-5;male
Syrdarya region;25517;25673;24992;24549;24467;25306;26140;26733;26586;26722;28232;30292;3-5;male
Tashkent region;83990;85566;85327;82747;82402;83966;86499;87306;84892;82839;86423;92730;3-5;male
Fergana region;105208;105999;106245;105092;106075;110491;116436;118990;118287;119918;124683;134351;3-5;male
Khorezm region;55896;55962;55902;53906;54697;57190;59469;60004;58539;58944;60099;62626;3-5;male
Tashkent city;65467;65690;63569;60601;60960;63319;66107;69404;72754;75972;78539;83497;3-5;male
Republic of Karakalpakstan;32425;34703;36718;38919;38995;37186;37958;39203;39881;41360;40616;37769;6-7;male
Andijan region;48931;52816;60086;63634;63020;60556;59727;62789;66789;69435;69868;68225;6-7;male
Bukhara region;30923;32205;33595;34960;35769;34421;34032;35966;37736;39190;39162;37930;6-7;male
Jizzakh region;24397;25023;26868;27816;27504;26843;26713;27274;28687;31150;32212;31346;6-7;male
Kashkadarya region;53896;57157;62760;65505;65733;66475;69184;72078;74092;77341;78907;77126;6-7;male
Navoi region;16059;16893;17582;18019;18451;18594;18702;19322;20245;20789;21050;20994;6-7;male
Namangan region;43641;48402;54276;54565;53030;53002;52875;55059;60656;63755;63767;63059;6-7;male
Samarkand region;67336;70357;75637;79503;78284;78347;79173;81716;86087;89422;89247;88643;6-7;male
Surkhandarya region;43976;46059;50415;53214;52558;54113;56089;56407;58910;63861;65028;63896;6-7;male
Syrdarya region;14824;15980;16963;17235;17006;16423;16148;16514;17098;17699;17866;17609;6-7;male
Tashkent region;46570;50452;54241;57346;57824;55538;54394;54735;56581;56827;56438;53884;6-7;male
Fergana region;59185;65794;69942;69738;71740;70931;68765;71479;76135;78942;79835;78145;6-7;male
Khorezm region;31923;34741;36084;37530;38051;36054;35463;36830;39251;40127;39588;38497;6-7;male
Tashkent city;36583;39825;42992;45355;43924;41270;41397;42876;46241;49725;50948;50784;6-7;male
Republic of Karakalpakstan;130541;128622;129853;130716;132629;136692;139695;142367;145143;149011;152563;155385;8-15;male
Andijan region;192680;190218;188369;192366;201259;210457;217904;225206;231268;239355;249293;256113;8-15;male
Bukhara region;117603;116854;117531;119814;122432;125677;128327;130591;132626;135950;139732;143251;8-15;male
Jizzakh region;95106;94273;94760;95921;98217;100462;102414;104266;105571;106987;109746;112987;8-15;male
Kashkadarya region;226456;222469;221130;221904;225669;231137;236779;242510;249626;259370;270290;279795;8-15;male
Navoi region;60011;59720;60394;61643;63240;65107;67232;69281;70678;72679;74923;76487;8-15;male
Namangan region;176374;173467;172554;176977;183617;189311;193480;198952;202994;210215;220106;225674;8-15;male
Samarkand region;256592;252210;256440;259578;269436;277606;285327;293779;301189;310581;320077;329477;8-15;male
Surkhandarya region;181132;175212;174761;175681;179986;185551;189718;196585;202771;209419;217624;227045;8-15;male
Syrdarya region;55893;55556;56205;57728;59505;61266;62361;63543;64535;65754;66779;67436;8-15;male
Tashkent region;178416;175692;176087;181032;187544;196085;202182;208075;211026;210442;215743;218587;8-15;male
Fergana region;231960;227704;227145;233893;241062;250074;257743;265368;268560;276834;285468;289951;8-15;male
Khorezm region;124298;123098;124387;126451;128473;133238;136029;138981;140420;144040;147829;149548;8-15;male
Tashkent city;136280;136005;137741;141696;148252;157138;162489;168589;178576;188882;192629;195000;8-15;male
Republic of Karakalpakstan;32751;33461;32389;32127;33482;32509;31609;31105;31824;31768;31894;34208;16-17;male
Andijan region;59936;55401;52967;50371;46955;45311;46221;45669;45785;48041;48567;52486;16-17;male
Bukhara region;34860;32475;30573;28834;28244;28624;28974;28524;28617;29589;30315;31614;16-17;male
Jizzakh region;28387;26904;24666;23318;23393;23334;23501;23110;23247;24240;24356;24966;16-17;male
Kashkadarya region;69667;65833;59182;57799;58131;55718;54210;54591;53908;53045;53264;56476;16-17;male
Navoi region;17640;16546;15217;14697;14638;14493;14795;14733;15015;15623;15914;16751;16-17;male
Namangan region;57081;52214;47193;44673;42943;41928;42829;42991;42735;43203;43248;48003;16-17;male
Samarkand region;78197;74353;67456;63006;62855;61769;63190;62701;62311;63919;67238;70187;16-17;male
Surkhandarya region;55098;54667;50277;45591;45192;43343;43092;43284;42073;42439;43733;45820;16-17;male
Syrdarya region;15368;14962;14411;13713;13532;13513;14021;14033;13591;13920;14671;15821;16-17;male
Tashkent region;53882;51373;47891;44206;42161;41404;42260;42613;43939;44064;44466;48529;16-17;male
Fergana region;72718;68004;63664;59295;55700;53159;54651;55187;57027;59034;58699;65327;16-17;male
Khorezm region;33085;32758;31573;31126;31695;30373;30121;29872;30215;30930;31501;34306;16-17;male
Tashkent city;37447;36693;35859;34289;33144;32702;33614;34805;37486;40555;41825;45119;16-17;male
Republic of Karakalpakstan;35185;32706;32564;33286;32232;32002;33367;32405;31478;30852;31595;31578;18-19;male
Andijan region;60264;60388;59833;55288;52852;50247;46853;45209;46104;45504;45676;47945;18-19;male
Bukhara region;36409;36548;34816;32399;30512;28783;28040;28413;28750;28225;28370;29443;18-19;male
Jizzakh region;28032;28436;28263;26788;24542;23218;23313;23237;23407;22994;23136;24140;18-19;male
Kashkadarya region;64428;66311;69591;65713;59036;57608;57981;55522;53736;54007;53463;52717;18-19;male
Navoi region;20011;18917;17531;16499;15175;14652;14789;14592;14782;14723;14981;15535;18-19;male
Namangan region;57567;57451;56997;52112;47139;44619;42886;41834;42672;42807;42587;43056;18-19;male
Samarkand region;76314;78778;78142;74144;67219;62773;62644;61569;62839;62238;61973;63703;18-19;male
Surkhandarya region;52656;53231;54999;54554;50176;45496;45130;43274;42863;42964;41781;42246;18-19;male
Syrdarya region;16476;15852;15359;14952;14418;13714;13519;13554;14009;13974;13567;13913;18-19;male
Tashkent region;53064;53653;53643;51114;47690;44030;41990;41307;42079;41160;42528;43869;18-19;male
Fergana region;74391;74360;72636;67891;63546;59177;55596;53100;54523;54989;56805;58815;18-19;male
Khorezm region;35491;34257;33011;32683;31484;31041;31604;30300;29960;29730;30104;30818;18-19;male
Tashkent city;38568;37412;36909;36589;35834;34519;33534;33136;35229;38169;40227;41453;18-19;male
Republic of Karakalpakstan;96039;94653;92245;89432;85883;83250;80240;80370;81140;80055;79017;78514;20-24;male
Andijan region;147748;151669;152992;153724;150840;146207;141134;136156;127546;121508;118470;114348;20-24;male
Bukhara region;92020;92578;93613;92730;90077;86767;83102;78589;74252;71917;70530;69693;20-24;male
Jizzakh region;70876;72231;72591;72513;71119;68893;66234;64153;61133;59022;57699;57404;20-24;male
Kashkadarya region;160950;164320;164788;167376;167554;164469;159564;156996;150587;141908;138027;136867;20-24;male
Navoi region;48288;49442;49373;49283;47505;45303;42751;40419;38554;37096;36692;36512;20-24;male
Namangan region;138335;141604;143902;144666;143036;138537;131834;125543;117240;110227;107627;105871;20-24;male
Samarkand region;190539;192442;194645;197020;194132;189688;182389;176016;166119;159170;154619;154247;20-24;male
Surkhandarya region;126790;131711;132662;134248;133606;134517;130014;127297;121616;114961;109683;107701;20-24;male
Syrdarya region;44599;44536;43284;42184;40598;39202;37688;36412;35374;34537;34316;33938;20-24;male
Tashkent region;146846;143247;138997;136511;133306;130077;126341;121748;114839;106200;102942;101231;20-24;male
Fergana region;178307;181509;185487;188204;185301;179647;172335;164386;153525;144565;139913;135911;20-24;male
Khorezm region;86737;88325;89736;89126;86950;84759;81470;80085;78674;77122;75879;75392;20-24;male
Tashkent city;105089;95524;93388;92256;91734;92130;91969;90906;91977;95240;95790;96189;20-24;male
Republic of Karakalpakstan;89540;92288;93395;93507;94175;93761;92346;90110;87571;83880;81286;78206;25-29;male
Andijan region;131442;134954;137234;140721;143921;146932;150634;152005;152627;149750;145125;140048;25-29;male
Bukhara region;83010;85527;87035;88641;90318;91386;91298;91986;90737;87835;84548;81190;25-29;male
Jizzakh region;60288;62316;64012;67391;69126;70742;71817;72129;71923;70436;68133;65366;25-29;male
Kashkadarya region;142257;149646;154801;157630;161194;163082;164165;163840;164874;164415;161075;155908;25-29;male
Navoi region;45492;46640;47489;47299;48139;48688;49551;49554;49372;47515;45203;42317;25-29;male
Namangan region;119470;124143;127757;132091;135017;138214;141094;143202;143810;142065;137482;130704;25-29;male
Samarkand region;165199;172665;176807;180553;184427;188841;189926;191823;194079;191123;186857;179620;25-29;male
Surkhandarya region;110490;114865;118146;121556;125530;127684;131207;131753;132842;131864;132568;127882;25-29;male
Syrdarya region;41690;43166;44450;44907;44914;44557;44077;42756;41637;40070;38691;37203;25-29;male
Tashkent region;135543;140136;143123;145000;144965;143317;140579;137072;134713;127835;124878;121615;25-29;male
Fergana region;156926;163609;166512;169293;173447;177951;180654;184455;186866;183901;178208;170778;25-29;male
Khorezm region;82690;84258;84205;84891;85592;86814;87921;89130;88187;85842;83650;80365;25-29;male
Tashkent city;109260;108623;103692;99937;96476;94170;93408;94903;99120;105166;106764;107182;25-29;male
Republic of Karakalpakstan;70096;72999;75848;79466;83041;87046;89920;91169;91452;91992;91405;89723;30-34;male
Andijan region;107112;110534;114668;120172;125249;130102;133553;135929;139322;142488;145468;149132;30-34;male
Bukhara region;67042;68640;70955;74829;78497;82043;84291;85645;86806;88239;89155;89238;30-34;male
Jizzakh region;43503;46198;49143;50784;54301;59508;61441;63119;66363;68099;69734;70732;30-34;male
Kashkadarya region;108092;113514;118354;126166;134284;141557;148111;152791;154394;157367;158834;159568;30-34;male
Navoi region;37284;38369;39538;41122;42622;44225;45726;46759;46534;47565;48122;48706;30-34;male
Namangan region;97029;100744;103718;108616;113946;118420;122986;126551;130726;133593;136826;139606;30-34;male
Samarkand region;127481;133016;140227;148018;156414;163114;170412;174389;177629;181256;185642;186635;30-34;male
Surkhandarya region;85012;88753;93422;98850;104352;109499;113489;116652;119578;123296;125352;128821;30-34;male
Syrdarya region;31349;32774;34695;36598;38841;41036;42493;43762;44110;44186;43830;43396;30-34;male
Tashkent region;107180;109675;114235;119522;126090;132177;137368;140981;142946;138660;137206;135015;30-34;male
Fergana region;128769;132270;135126;141198;148104;155345;162002;164890;167628;171762;176175;178834;30-34;male
Khorezm region;68311;70815;72981;76018;79048;81795;83264;83129;83605;84307;85454;86516;30-34;male
Tashkent city;96012;97451;101141;103144;105983;108067;109718;107021;108911;112287;111570;111632;30-34;male
Republic of Karakalpakstan;58411;59834;62276;64103;65781;68418;71356;74177;77755;81146;84930;87488;35-39;male
Andijan region;98321;98375;99818;100784;102517;105682;109123;113239;118585;123653;128468;131867;35-39;male
Bukhara region;60431;61298;62815;63764;64365;66350;67698;69895;73251;76633;79930;82300;35-39;male
Jizzakh region;36552;37711;39321;40973;42502;42797;45512;48448;49906;53308;58442;60279;35-39;male
Kashkadarya region;88310;90881;95284;99307;102663;107094;112241;116700;122954;130523;137475;143810;35-39;male
Navoi region;30799;31591;32604;33655;34653;36100;37492;38813;40399;41893;43618;44775;35-39;male
Namangan region;87493;87879;89771;90885;92736;95880;99619;102544;107155;112393;116773;121259;35-39;male
Samarkand region;103781;107039;110794;115013;119373;125722;131280;138207;145141;153255;159773;166862;35-39;male
Surkhandarya region;70142;71716;74477;77330;80283;83796;87532;92073;96873;102068;106970;110748;35-39;male
Syrdarya region;24214;25478;26656;27933;29266;30735;32121;33994;35831;38050;40254;41649;35-39;male
Tashkent region;88832;92187;95065;97128;99879;104215;106861;111538;116942;120113;125861;131155;35-39;male
Fergana region;116668;117587;120995;123290;124604;127202;130670;133501;139282;146098;153291;159935;35-39;male
Khorezm region;60478;60928;62616;64058;65478;67458;69916;72014;74679;77529;80203;81622;35-39;male
Tashkent city;90063;88308;89576;90829;92293;95002;97252;103173;111197;120484;124953;127866;35-39;male
Republic of Karakalpakstan;92421;94671;96572;99388;102716;105702;108889;112472;115926;118928;121862;125743;40-49;male
Andijan region;165445;169427;172342;175764;180116;183343;186464;190099;192552;195787;199057;202444;40-49;male
Bukhara region;106117;107710;109167;111197;113625;115351;117122;120178;121567;122129;122884;125085;40-49;male
Jizzakh region;58690;59449;60194;61903;63915;65641;68186;71284;74223;76328;77094;80839;40-49;male
Kashkadarya region;137930;140545;143993;147137;152199;157204;162349;170618;176608;182460;188465;195498;40-49;male
Navoi region;55159;55498;55903;56892;57851;58835;59487;59997;61182;63116;64671;66684;40-49;male
Namangan region;138956;142650;146271;150079;154861;158516;161813;166866;170789;175218;179128;183061;40-49;male
Samarkand region;169250;170560;173101;176708;181612;186262;192446;200020;207224;214170;222269;230649;40-49;male
Surkhandarya region;117599;120110;122485;125220;128850;132292;134912;137873;140918;144635;148653;153721;40-49;male
Syrdarya region;37766;38267;39023;40223;41526;42893;45276;47555;49384;51085;52866;55553;40-49;male
Tashkent region;156045;155717;156027;158439;161157;163476;168085;172824;176494;174478;179174;185250;40-49;male
Fergana region;198208;202418;206426;209730;214562;218481;222124;228431;231892;235208;237859;241914;40-49;male
Khorezm region;89728;93878;97387;101062;105341;109288;113151;117195;120372;123398;124201;126853;40-49;male
Tashkent city;156768;160715;161204;164117;167518;170880;172541;175696;183407;193832;199865;203972;40-49;male
Republic of Karakalpakstan;62262;65367;68598;71354;73898;75461;77441;79175;80840;82659;84926;86846;50-59;male
Andijan region;117277;123223;129014;134221;138052;141410;143807;146447;148997;151868;155656;159770;50-59;male
Bukhara region;76962;80766;84448;87406;90630;92718;93993;94882;95473;97537;100207;101773;50-59;male
Jizzakh region;46664;48702;50435;51681;52462;53130;53174;52767;52962;53936;54837;55739;50-59;male
Kashkadarya region;107063;112598;116579;120450;123310;125483;126695;126143;125481;126592;129134;131018;50-59;male
Navoi region;39326;41097;42552;43614;44831;45576;47574;49253;50061;50161;51103;51744;50-59;male
Namangan region;101402;107147;112222;116560;119477;121804;123766;125239;126062;127863;130980;134673;50-59;male
Samarkand region;138288;145059;150236;153850;156073;157491;157660;156539;155731;156224;157630;158871;50-59;male
Surkhandarya region;82102;86786;90764;94101;96325;98200;100794;103622;105346;107103;109766;112033;50-59;male
Syrdarya region;28783;30006;30961;31725;32073;32386;32283;32189;32669;33444;34392;35011;50-59;male
Tashkent region;125195;130533;134257;136958;139228;140509;140753;141027;141050;138349;139012;139534;50-59;male
Fergana region;143482;151242;157920;163909;168503;172732;175637;178148;180602;183363;187651;191740;50-59;male
Khorezm region;60509;63406;66320;68833;70980;72385;73781;75388;77025;79285;84032;88173;50-59;male
Tashkent city;117208;120491;123163;125294;127030;128187;130402;133483;139376;147913;153083;158423;50-59;male
Republic of Karakalpakstan;16649;17797;18815;19499;20783;22361;24135;26237;28195;30435;31948;33176;60-64;male
Andijan region;30691;33920;36624;38086;40804;42810;46872;50640;54621;58187;61251;62924;60-64;male
Bukhara region;19927;22304;24053;25738;27024;28657;31061;33464;36166;39099;41063;42354;60-64;male
Jizzakh region;12066;13342;14664;15501;16844;17976;19360;20701;21803;22897;23644;24185;60-64;male
Kashkadarya region;26729;29183;32311;34807;37780;40478;44212;47657;50878;53820;55729;57208;60-64;male
Navoi region;10050;10933;11834;12688;13486;14304;15602;16873;17959;19168;20047;20661;60-64;male
Namangan region;25393;27471;29232;31017;33908;36797;41152;45042;48896;51773;53805;55037;60-64;male
Samarkand region;35099;37742;41016;44136;48584;52447;57603;62229;65759;68573;70670;72168;60-64;male
Surkhandarya region;19751;21626;23676;25321;27949;30227;33471;36509;39099;41372;42905;43919;60-64;male
Syrdarya region;7129;7827;8548;9006;9933;10651;11559;12403;13137;13615;14045;14163;60-64;male
Tashkent region;34422;37191;40200;42604;45215;47477;51248;53934;56056;57153;59354;60930;60-64;male
Fergana region;37552;40615;43422;45705;49345;52510;58469;63576;68550;72650;76287;77761;60-64;male
Khorezm region;15643;16956;18416;19153;20516;22009;24107;26421;28276;30252;31784;32220;60-64;male
Tashkent city;39513;41151;42511;43437;44515;46016;48494;50231;51716;56122;58701;60252;60-64;male
Republic of Karakalpakstan;26680;27123;27773;29103;30396;31884;33381;35092;36371;38674;41044;43830;65-gt;male
Andijan region;47902;48207;49164;52039;54737;58214;61321;64931;68352;72879;77886;84178;65-gt;male
Bukhara region;32386;33037;34221;35961;38088;40553;43070;45750;48078;51213;54780;59368;65-gt;male
Jizzakh region;19182;19510;20123;21482;22591;24047;25501;27349;28966;31162;33269;35300;65-gt;male
Kashkadarya region;44134;45056;46033;48348;50572;53457;56403;60311;63927;68330;72264;77450;65-gt;male
Navoi region;15465;15796;16228;17011;17836;18938;20264;21551;22730;24246;26277;28395;65-gt;male
Namangan region;41140;41679;42800;44874;47205;49895;52454;55269;58263;62806;67504;73224;65-gt;male
Samarkand region;54360;55698;57487;60478;63376;67178;71066;75793;80430;86552;92816;100178;65-gt;male
Surkhandarya region;35527;35822;36504;38234;39717;41674;43593;46042;48116;51308;54384;58274;65-gt;male
Syrdarya region;8993;9247;9584;10265;10780;11435;12193;13045;13945;15073;16282;17650;65-gt;male
Tashkent region;50877;51912;53678;56706;59780;63809;67323;71837;75445;77335;82747;89375;65-gt;male
Fergana region;63466;64331;65801;69136;72454;76018;79632;83691;88077;94214;100288;109026;65-gt;male
Khorezm region;25610;26051;26423;27897;29073;30643;32112;33673;34909;36871;39101;42364;65-gt;male
Tashkent city;55799;57905;61020;64607;68096;71946;75347;79718;82808;88660;94510;101276;65-gt;male
